T,NID,NOD,NAE,PA,QLO,QAO,HR,VB,VP,VEC,VTS,CNA,TVD,VTW,REK,NED,AAR,BFM,BFN,CPP,DLP,GFR,GLP,HM,IFP,PFL,PRP,PVS,RBF,RFN,RR,RSM,RSN,SVO,VAE,VAS,VG,VIF,VUD,AU,AUH,AUM,VVS,ARM,STH,VGD,ANC,ANM,ANT,ANU,ANP
1,0.1,0.10389,2136.3,99.723,5.1494,5.115,71.735,5.0066,2.9627,15.041,12.066,142.03,0.0010071,40.026,1,-0.0038909,31.961,0.99031,2.9417,70.108,0.0069991,0.12512,62.044,40.824,9.1479,16.001,207.71,3.7957,1.1789,1.1789,84.59,96.867,32.61,0.071784,0.35401,0.84901,11.512,0.55358,0.0010301,0.98876,0.99663,0.99044,3.276,0.89549,1,0.99598,1.003,15,1.003,0.99571,1.4235e-33
1441,0.1,0.10008,2136.7,99.816,5.1255,5.1194,71.898,5.0016,2.9584,15.046,12.075,142.01,0.00090695,40.042,1,-7.9492e-05,31.974,0.98907,2.9514,70.208,0.0069524,0.12496,62.102,40.841,9.1454,16.019,207.77,3.7778,1.1795,1.1795,84.623,97.099,32.54,0.071289,0.35435,0.84935,11.52,0.55401,0.0010018,0.99408,0.99823,0.99497,3.2713,0.88268,1,1.0074,1.0063,15,1.0063,1.0081,1.4235e-33
2881,0.1,0.10093,2137,99.887,5.1269,5.1269,71.919,5.002,2.9606,15.051,12.077,141.99,0.00087875,40.046,1,-0.00092718,32.025,0.99086,2.956,70.213,0.0069499,0.12499,62.094,40.814,9.1361,16.009,207.86,3.7795,1.1801,1.1801,84.642,96.993,32.512,0.071287,0.3546,0.8496,11.522,0.55549,0.0010104,0.99459,0.99838,0.9954,3.2713,0.88269,1,1.0096,1.0069,15,1.007,1.0092,1.4235e-33
4321,0.1,0.097788,2137.5,99.841,5.1245,5.1244,72.007,5.0014,2.961,15.051,12.078,142.02,0.00096374,40.044,1,0.002212,31.986,0.98911,2.9548,70.234,0.0069402,0.1249,62.083,40.796,9.1279,15.99,207.97,3.7807,1.1804,1.1804,84.581,97.118,32.51,0.071166,0.35443,0.84943,11.522,0.55531,0.00098053,0.99683,0.99905,0.99731,3.2709,0.88014,1,1.0123,1.0077,15,1.0077,1.0126,1.4235e-33
5761,0.1,0.10001,2137.9,99.964,5.1297,5.1319,71.994,5.0024,2.9632,15.055,12.079,142.01,0.00095117,40.05,1,-7.89e-06,32.064,0.9914,2.9591,70.215,0.0069488,0.12499,62.086,40.764,9.1175,16,208.07,3.7822,1.1813,1.1813,84.621,97.016,32.504,0.071252,0.35487,0.84987,11.524,0.55551,0.0010014,0.99644,0.99893,0.99698,3.2714,0.88283,1,1.0101,1.0071,15,1.0071,1.0099,1.4235e-33
7201,0.1,0.1004,2138.1,100.01,5.1352,5.1365,72.019,5.003,2.965,15.058,12.08,141.99,0.00089801,40.058,1,-0.00039667,32.094,0.99256,2.962,70.207,0.0069526,0.12501,62.079,40.736,9.1089,15.996,208.17,3.7844,1.1819,1.1819,84.617,96.948,32.488,0.071304,0.35504,0.85004,11.524,0.55579,0.0010081,0.99704,0.99911,0.99749,3.2718,0.88361,1,1.0087,1.0067,15,1.0067,1.0083,1.4235e-33
8641,0.1,0.10098,2138.5,100.06,5.1375,5.1405,72.014,5.0038,2.9667,15.059,12.081,142.01,0.00089864,40.062,1,-0.00097597,32.114,0.99398,2.9638,70.193,0.0069593,0.12505,62.081,40.706,9.0986,16.003,208.28,3.7864,1.1828,1.1828,84.602,96.861,32.484,0.07134,0.35523,0.85023,11.525,0.55542,0.001015,0.99685,0.99905,0.99732,3.2723,0.8853,1,1.0056,1.0058,15,1.0058,1.0055,1.4235e-33
10081,0.1,0.099289,2138.8,100.04,5.1459,5.1442,72.066,5.0044,2.9686,15.061,12.08,142.01,0.00093263,40.063,1,0.00071101,32.078,0.99442,2.9663,70.188,0.0069617,0.125,62.076,40.679,9.093,16,208.37,3.7901,1.1834,1.1834,84.533,96.786,32.447,0.071405,0.35513,0.85013,11.524,0.55575,0.00099957,0.99805,0.99941,0.99834,3.2728,0.88439,1,1.003,1.005,15,1.005,1.0028,1.4235e-33
11521,0.1,0.1009,2139.2,100.15,5.1616,5.155,72.059,5.0062,2.971,15.064,12.082,142.01,0.00090652,40.07,1,-0.00089631,32.105,0.99751,2.9734,70.151,0.0069793,0.12508,62.105,40.642,9.0841,16.045,208.47,3.7958,1.185,1.185,84.516,96.593,32.405,0.071629,0.35553,0.85053,11.526,0.55617,0.001017,0.99739,0.99922,0.99778,3.2739,0.88645,1,0.99845,1.0037,15,1.0037,0.99844,1.4235e-33
12961,0.1,0.099431,2139.4,100.08,5.1525,5.1527,72.073,5.0058,2.9723,15.066,12.081,142,0.00091621,40.072,1,0.00056866,32.085,0.99657,2.9713,70.172,0.0069693,0.12503,62.069,40.623,9.0769,16,208.57,3.7952,1.1848,1.1848,84.473,96.619,32.406,0.07149,0.3553,0.8503,11.525,0.55594,0.0010049,0.99803,0.99941,0.99832,3.2739,0.88601,1,0.99891,1.0039,15,1.0038,0.9989,1.4235e-33
14401,0.1,0.099876,2139.8,100.15,5.1578,5.1583,72.074,5.0065,2.9741,15.069,12.082,142,0.00092265,40.076,1,0.0001238,32.116,0.99805,2.9745,70.162,0.0069739,0.12508,62.074,40.595,9.0692,16.01,208.68,3.797,1.1857,1.1857,84.471,96.545,32.394,0.071562,0.35554,0.85054,11.526,0.55604,0.0010111,0.99799,0.9994,0.99829,3.2743,0.8872,1,0.99787,1.0036,15,1.0036,0.9977,1.4235e-33
15841,0.1,0.10099,2140.1,100.19,5.1652,5.1634,72.049,5.0078,2.9763,15.071,12.082,142,0.00086498,40.085,1,-0.00098608,32.113,0.99964,2.9775,70.133,0.0069877,0.12513,62.084,40.563,9.0611,16.03,208.77,3.8018,1.1867,1.1867,84.429,96.425,32.372,0.071691,0.35568,0.85068,11.527,0.55559,0.0010253,0.99706,0.99912,0.9975,3.2752,0.88806,1,0.99665,1.0032,15,1.0032,0.99713,1.4235e-33
17281,0.1,0.099691,2140.4,100.18,5.162,5.1639,72.063,5.0077,2.9776,15.074,12.083,141.99,0.00094292,40.081,1,0.0003086,32.113,0.99972,2.9772,70.152,0.0069785,0.12511,62.066,40.541,9.0555,16.005,208.86,3.8016,1.1869,1.1869,84.404,96.407,32.373,0.071633,0.35564,0.85064,11.527,0.55637,0.0010126,0.99759,0.99928,0.99795,3.2752,0.88885,1,0.99634,1.0031,15,1.0031,0.99627,1.4235e-33
18721,0.1,0.1,2140.7,100.2,5.1606,5.1694,72.066,5.008,2.9798,15.075,12.082,142.01,0.00090522,40.086,1,-2.2501e-06,32.126,1.0017,2.9797,70.145,0.0069817,0.12513,62.056,40.517,9.0495,15.998,208.96,3.8027,1.1874,1.1874,84.388,96.236,32.352,0.071609,0.35572,0.85072,11.526,0.55578,0.0010176,0.99773,0.99932,0.99807,3.2755,0.88785,1,0.99598,1.003,15,1.003,0.99558,1.4235e-33
20160,0.032755,0.10003,2141.1,100.29,5.1769,5.1739,72.09,5.009,2.9808,15.076,12.084,142.02,0.00092699,40.091,1,-3.044e-05,32.15,1.0021,2.9833,70.132,0.006988,0.12516,62.077,40.488,9.0438,16.025,209.08,3.806,1.1886,1.1886,84.378,96.284,32.342,0.071812,0.35603,0.85103,11.528,0.5562,0.0010205,0.99806,0.99942,0.99835,3.2759,0.88993,1,0.99554,1.0029,15,1.0029,0.9953,1.4235e-33
20520,0.0208,0.035349,2124.7,98.418,5.0723,5.0509,74.655,4.969,2.9411,15.005,12.051,141.6,0,40.09,1,-0.014549,30.96,0.94666,2.9264,70.874,0.006639,0.12211,61.957,40.808,9.2364,15.607,208.45,3.7495,1.1777,1.1777,83.57,100,32.35,0.067943,0.34938,0.84438,11.496,0.55539,0.00040696,1.0663,1.0199,1.0564,3.2456,0.78256,1,1.1357,1.0432,15,1.0429,1.141,1.4235e-33
20880,0.0208,0.018356,2123.1,98.075,5.0078,5.0046,75.469,4.9465,2.9194,15.004,12.071,141.5,0,40.104,1,0.0024438,30.765,0.92409,2.9067,71.169,0.0065005,0.12132,61.979,40.988,9.27,15.512,207.72,3.7123,1.1733,1.1733,83.592,102.12,32.464,0.066355,0.34817,0.84317,11.513,0.55819,0.00022229,1.0891,1.0267,1.0757,3.2264,0.73694,1,1.2653,1.08,15,1.0798,1.2695,1.4235e-33
21240,0.0208,0.01598,2124.7,97.887,4.9817,4.9719,75.449,4.9365,2.9091,15.015,12.093,141.5,0,40.121,1,0.0048201,30.628,0.91136,2.8889,71.232,0.006471,0.12119,62.003,41.066,9.2466,15.51,207.23,3.6983,1.1716,1.1716,83.549,103.35,32.603,0.066027,0.3475,0.8425,11.534,0.55981,0.0002,1.0892,1.0268,1.0759,3.2177,0.71544,1,1.3756,1.111,15,1.1106,1.3794,1.4235e-33
21600,0.0208,0.015596,2126.5,97.711,4.9646,4.9533,75.31,4.9292,2.9014,15.023,12.11,141.55,0,40.125,1,0.0052044,30.446,0.90182,2.8814,71.273,0.0064517,0.12114,62.056,41.122,9.2321,15.547,206.87,3.6917,1.1711,1.1711,83.434,104.25,32.629,0.065921,0.34687,0.84187,11.548,0.56179,0.0002,1.0858,1.0257,1.0729,3.2113,0.69685,1,1.4752,1.1387,15,1.1385,1.4791,1.4235e-33
21960,0.0208,0.015383,2128.4,97.564,4.9338,4.9308,74.989,4.9235,2.8967,15.03,12.121,141.61,0,40.119,1,0.0054171,30.367,0.89465,2.8665,71.324,0.0064276,0.12122,62.043,41.164,9.2139,15.513,206.62,3.6795,1.1697,1.1697,83.406,104.94,32.753,0.065794,0.34635,0.84135,11.559,0.56223,0.0002,1.0784,1.0235,1.0666,3.2067,0.68819,1,1.556,1.161,15,1.1607,1.5588,1.4235e-33
22320,0.0208,0.015284,2130.3,97.635,4.9312,4.925,74.597,4.9211,2.8948,15.039,12.131,141.65,0.00012595,40.114,1,0.0055157,30.377,0.89215,2.8627,71.313,0.0064328,0.12148,62.088,41.178,9.1973,15.563,206.42,3.6726,1.1702,1.1702,83.434,105.32,32.822,0.066104,0.3466,0.8416,11.567,0.56319,0.0002,1.0684,1.0205,1.0582,3.2041,0.68496,1,1.6201,1.1785,15,1.1783,1.6218,1.4235e-33
22680,0.0208,0.01882,2131.9,97.719,4.9186,4.9257,73.852,4.9234,2.8974,15.047,12.135,141.68,0.00016805,40.115,1,0.0019802,30.406,0.89372,2.8608,71.228,0.0064728,0.122,62.107,41.154,9.1672,15.616,206.34,3.6724,1.1712,1.1712,83.434,105.23,32.875,0.066601,0.3469,0.8419,11.572,0.56316,0.00024563,1.0493,1.0148,1.0419,3.206,0.69248,1,1.654,1.1878,15,1.1876,1.6553,1.4235e-33
23040,0.0208,0.020754,2132.1,97.695,4.9284,4.9241,73.574,4.9237,2.8975,15.046,12.135,141.71,0.00015149,40.116,1,4.5906e-05,30.344,0.89292,2.8598,71.186,0.0064925,0.12216,62.134,41.146,9.162,15.659,206.3,3.6732,1.1719,1.1719,83.362,105.3,32.878,0.066986,0.34682,0.84182,11.572,0.56317,0.0002732,1.0419,1.0126,1.0356,3.2061,0.69149,1,1.6843,1.196,15,1.1959,1.6856,1.4235e-33
23400,0.0208,0.020342,2132.2,97.552,4.9194,4.9169,73.411,4.9223,2.8964,15.044,12.136,141.73,0.00016361,40.114,1,0.00045799,30.235,0.89048,2.855,71.2,0.006486,0.12218,62.128,41.152,9.1547,15.648,206.26,3.6718,1.1717,1.1717,83.26,105.43,32.883,0.067012,0.34631,0.84131,11.573,0.56329,0.00026967,1.0378,1.0113,1.0322,3.2052,0.68847,1,1.7111,1.2033,15,1.2031,1.7125,1.4235e-33
23760,0.0208,0.020577,2132.3,97.514,4.9179,4.9165,73.277,4.9214,2.896,15.046,12.137,141.72,0.00017248,40.111,1,0.00022336,30.169,0.89023,2.8552,71.198,0.0064869,0.12224,62.153,41.154,9.1488,15.674,206.19,3.6714,1.1721,1.1721,83.198,105.41,32.867,0.067114,0.34617,0.84117,11.573,0.56408,0.00027429,1.0343,1.0103,1.0292,3.2045,0.686,1,1.7338,1.2094,15,1.2093,1.7348,1.4235e-33
24120,0.0208,0.020602,2132.4,97.442,4.9128,4.9127,73.176,4.9202,2.895,15.047,12.139,141.72,0.00015804,40.114,1,0.000198,30.146,0.88785,2.8533,71.204,0.006484,0.12227,62.127,41.159,9.144,15.646,206.14,3.6681,1.1715,1.1715,83.18,105.62,32.865,0.067137,0.34592,0.84092,11.575,0.56459,0.00027653,1.032,1.0096,1.0272,3.2036,0.68417,1,1.7539,1.2148,15,1.2148,1.7542,1.4235e-33
24480,0.0208,0.019948,2132.7,97.354,4.9008,4.9071,73.075,4.9189,2.894,15.047,12.14,141.74,0.0002192,40.109,1,0.00085239,30.066,0.88621,2.8493,71.213,0.00648,0.12227,62.134,41.165,9.1342,15.649,206.09,3.6662,1.1714,1.1714,83.107,105.72,32.881,0.067065,0.34561,0.84061,11.576,0.56425,0.00026866,1.0295,1.0089,1.0251,3.2028,0.68199,1,1.7708,1.2193,15,1.2193,1.7716,1.4235e-33
24840,0.0208,0.020318,2132.8,97.307,4.9069,4.9055,72.971,4.9187,2.894,15.047,12.141,141.74,0.00020412,40.11,1,0.00048204,30.02,0.88561,2.8483,71.196,0.0064881,0.12232,62.136,41.161,9.1269,15.658,206.05,3.6653,1.1716,1.1716,83.057,105.74,32.876,0.067244,0.34544,0.84044,11.577,0.56438,0.00027498,1.0268,1.008,1.0228,3.2026,0.68119,1,1.7843,1.223,15,1.2229,1.7848,1.4235e-33
25200,0.0208,0.021134,2133,97.284,4.9033,4.906,72.861,4.9184,2.8942,15.051,12.143,141.72,0.00018918,40.112,1,-0.00033355,29.998,0.88557,2.8485,71.181,0.0064949,0.12238,62.136,41.158,9.1175,15.664,205.99,3.6645,1.1717,1.1717,83.031,105.72,32.866,0.067297,0.34536,0.84036,11.578,0.56482,0.00028671,1.024,1.0072,1.0204,3.2024,0.68078,1,1.7951,1.2259,15,1.2259,1.7953,1.4235e-33
25560,0.0208,0.021074,2132.9,97.199,4.8995,4.9032,72.784,4.918,2.8941,15.051,12.143,141.71,0.00013916,40.115,1,-0.00027374,29.93,0.8847,2.847,71.172,0.0064994,0.12238,62.133,41.157,9.1093,15.664,205.95,3.6649,1.1716,1.1716,82.961,105.72,32.854,0.067316,0.34506,0.84006,11.579,0.56472,0.00028757,1.022,1.0066,1.0187,3.2024,0.67936,1,1.805,1.2285,15,1.2285,1.8053,1.4235e-33
25920,0.0208,0.019928,2133,97.153,4.9086,4.9088,72.794,4.9176,2.8936,15.049,12.143,141.74,0.00017551,40.112,1,0.00087177,29.85,0.88464,2.8529,71.159,0.0065051,0.12235,62.162,41.155,9.1069,15.698,205.92,3.6678,1.1722,1.1722,82.879,105.68,32.769,0.067431,0.34489,0.83989,11.578,0.56554,0.00027288,1.0219,1.0066,1.0186,3.202,0.67549,1,1.8156,1.2314,15,1.2314,1.8158,1.4235e-33
26280,0.0208,0.020594,2133.3,97.131,4.9047,4.9029,72.69,4.9173,2.8935,15.05,12.144,141.75,0.00019767,40.113,1,0.00020612,29.847,0.88384,2.8478,71.146,0.0065115,0.12241,62.149,41.152,9.0955,15.691,205.89,3.6647,1.1721,1.1721,82.872,105.75,32.821,0.067474,0.34482,0.83982,11.58,0.56509,0.00028239,1.0194,1.0058,1.0165,3.2018,0.677,1,1.8215,1.2329,15,1.2329,1.8219,1.4235e-33
26640,0.0208,0.020693,2133.3,97.07,4.9034,4.9029,72.629,4.9171,2.8937,15.051,12.145,141.74,0.00017654,40.114,1,0.00010691,29.819,0.88315,2.8477,71.136,0.0065162,0.12242,62.129,41.148,9.0869,15.674,205.86,3.6637,1.1718,1.1718,82.839,105.77,32.801,0.067513,0.3446,0.8396,11.58,0.56531,0.0002847,1.0179,1.0054,1.0152,3.2018,0.67641,1,1.8272,1.2345,15,1.2345,1.8271,1.4235e-33
27000,0.0208,0.021302,2133.5,97.056,4.8946,4.9007,72.553,4.9169,2.8937,15.052,12.146,141.74,0.00016988,40.115,1,-0.00050169,29.816,0.883,2.8459,71.126,0.0065208,0.12247,62.121,41.145,9.0779,15.67,205.83,3.6619,1.1717,1.1717,82.833,105.77,32.817,0.067462,0.34455,0.83955,11.581,0.56505,0.00029339,1.0162,1.0049,1.0137,3.2018,0.67713,1,1.8307,1.2354,15,1.2354,1.8307,1.4235e-33
27360,0.0208,0.020253,2133.6,96.995,4.9092,4.9032,72.571,4.9168,2.8939,15.053,12.146,141.75,0.00019337,40.114,1,0.00054717,29.761,0.88256,2.8486,71.11,0.0065284,0.12243,62.12,41.141,9.0739,15.676,205.79,3.6627,1.1718,1.1718,82.773,105.75,32.764,0.067648,0.34433,0.83933,11.581,0.56574,0.00027998,1.0164,1.0049,1.0139,3.2015,0.67482,1,1.8367,1.237,15,1.237,1.8362,1.4235e-33
27720,0.0208,0.02037,2133.7,96.932,4.8977,4.8982,72.485,4.9166,2.8939,15.052,12.146,141.76,0.00021031,40.113,1,0.00042975,29.713,0.88214,2.8443,71.101,0.0065323,0.12245,62.114,41.137,9.0623,15.674,205.77,3.6623,1.1718,1.1718,82.72,105.73,32.792,0.067569,0.34411,0.83911,11.581,0.56491,0.0002818,1.0144,1.0043,1.0122,3.2018,0.67556,1,1.8384,1.2375,15,1.2375,1.8385,1.4235e-33
28080,0.0208,0.020489,2133.8,96.921,4.9071,4.8983,72.472,4.9168,2.894,15.052,12.146,141.76,0.00017856,40.118,1,0.00031071,29.684,0.88193,2.8447,71.068,0.0065483,0.12245,62.125,41.13,9.0559,15.698,205.73,3.6631,1.1722,1.1722,82.683,105.74,32.782,0.06771,0.34407,0.83907,11.581,0.56433,0.00028434,1.0138,1.0042,1.0118,3.2019,0.67482,1,1.8412,1.2382,15,1.2382,1.8419,1.4235e-33
28440,0.0208,0.020817,2133.8,96.884,4.8979,4.8987,72.41,4.9167,2.8946,15.054,12.147,141.75,0.0001845,40.115,1,-1.7415e-05,29.68,0.88221,2.8446,71.07,0.0065471,0.12248,62.102,41.126,9.047,15.674,205.73,3.6619,1.1719,1.1719,82.673,105.67,32.772,0.067642,0.34394,0.83894,11.582,0.56502,0.0002888,1.0124,1.0037,1.0106,3.202,0.67558,1,1.842,1.2384,15,1.2384,1.8419,1.4235e-33
28800,0.0208,0.01989,2134,96.81,4.9024,4.897,72.411,4.9166,2.8947,15.055,12.146,141.74,0.00021583,40.115,1,0.00091011,29.611,0.88147,2.8436,71.053,0.0065553,0.12244,62.105,41.121,9.0396,15.684,205.67,3.6633,1.1721,1.1721,82.599,105.67,32.757,0.067702,0.34368,0.83868,11.581,0.56473,0.00027653,1.0123,1.0037,1.0104,3.202,0.67407,1,1.8447,1.2391,15,1.2391,1.8452,1.4235e-33
29160,0.0208,0.020159,2134.1,96.778,4.8974,4.8995,72.361,4.9166,2.895,15.054,12.147,141.76,0.0002158,40.114,1,0.00064066,29.597,0.8817,2.8458,71.044,0.0065594,0.12246,62.092,41.116,9.0322,15.674,205.68,3.6634,1.1719,1.1719,82.579,105.61,32.72,0.067681,0.34356,0.83856,11.582,0.56531,0.00028031,1.011,1.0033,1.0094,3.2023,0.67405,1,1.8449,1.2392,15,1.2392,1.8451,1.4235e-33
29520,0.0208,0.020974,2134.1,96.803,4.9135,4.9087,72.327,4.9177,2.8962,15.056,12.147,141.75,0.00017458,40.116,1,-0.00017415,29.57,0.88356,2.8531,71.002,0.0065792,0.1225,62.121,41.102,9.0259,15.721,205.65,3.6674,1.1729,1.1729,82.534,105.41,32.644,0.067934,0.34365,0.83865,11.581,0.56611,0.00029186,1.0096,1.0029,1.0082,3.2029,0.67353,1,1.845,1.2392,15,1.2392,1.845,1.4235e-33
29880,0.0208,0.02074,2134.2,96.741,4.8961,4.9007,72.296,4.9168,2.8958,15.056,12.148,141.75,0.00018307,40.117,1,6.0425e-05,29.575,0.88195,2.8467,71.012,0.0065743,0.1225,62.078,41.104,9.0166,15.673,205.64,3.6634,1.172,1.172,82.542,105.54,32.697,0.067723,0.34343,0.83843,11.582,0.56538,0.00028895,1.0094,1.0028,1.008,3.2026,0.67446,1,1.8451,1.2393,15,1.2393,1.8453,1.4235e-33
30240,0.08748,0.020331,2134.3,96.71,4.9012,4.8991,72.292,4.9168,2.8961,15.057,12.148,141.75,0.00020234,40.116,1,0.00046914,29.549,0.882,2.845,71.001,0.0065796,0.12249,62.076,41.099,9.0104,15.676,205.61,3.6633,1.1721,1.1721,82.51,105.5,32.706,0.067797,0.34332,0.83832,11.582,0.56536,0.00028363,1.0092,1.0028,1.0078,3.2026,0.67457,1,1.8463,1.2396,15,1.2396,1.8462,1.4235e-33
30240,0.08748,0.020331,2134.3,96.71,4.9012,4.8991,72.292,4.9168,2.8961,15.057,12.148,141.75,0.00020234,40.116,1,0.00046914,29.549,0.882,2.845,71.001,0.0065796,0.12249,62.076,41.099,9.0104,15.676,205.61,3.6633,1.1721,1.1721,82.51,105.5,32.706,0.067797,0.34332,0.83832,11.582,0.56536,0.00028363,1.0092,1.0028,1.0078,3.2026,0.67457,1,1.8463,1.2396,15,1.2396,1.8462,1.4235e-33
30600,0.1875,0.17709,2166.9,100.68,5.1063,5.166,66.529,5.0045,2.9847,15.198,12.2,142.58,0.0025651,40.106,1,0.010406,31.841,0.99861,2.9678,69.318,0.0073704,0.13056,62.484,40.373,8.6165,16.757,206.85,3.772,1.1995,1.1995,83.934,97.04,32.652,0.076754,0.3574,0.8524,11.635,0.56547,0.0018991,0.85578,0.95673,0.87741,3.2696,0.90532,1,1.4711,1.1376,15,1.1384,1.4578,1.4235e-33
30960,0.1875,0.1902,2167.3,100.49,5.2194,5.2336,66.765,5.0396,3.0199,15.21,12.177,142.49,0.0023184,40.131,1,-0.0027043,31.755,1.0291,3.0006,68.973,0.0075326,0.13051,62.282,40.088,8.5542,16.693,208.24,3.8735,1.2033,1.2033,83.512,93.885,32.2,0.078174,0.35675,0.85175,11.614,0.56309,0.0019473,0.85872,0.95762,0.87991,3.3021,0.95508,1,1.2257,1.0688,15,1.0694,1.217,1.4235e-33
31320,0.1875,0.19568,2165,100.73,5.2919,5.2989,67.318,5.0579,3.0378,15.197,12.147,142.46,0.0021901,40.13,1,-0.0081759,31.912,1.0559,3.0368,68.919,0.0075579,0.13018,62.232,39.938,8.564,16.664,209.38,3.9157,1.2064,1.2064,83.494,91.689,31.881,0.078611,0.3576,0.8526,11.587,0.5603,0.0019275,0.87121,0.96136,0.89053,3.3181,0.9947,1,1.0258,1.0116,15,1.012,1.0193,1.4235e-33
31680,0.1875,0.19402,2162.3,100.82,5.34,5.3464,67.985,5.0693,3.0497,15.183,12.121,142.41,0.0020926,40.123,1,-0.0065161,32.022,1.0755,3.0633,68.925,0.0075551,0.12961,62.153,39.843,8.5921,16.582,210.19,3.9416,1.2075,1.2075,83.495,90.076,31.625,0.078546,0.35791,0.85291,11.562,0.55833,0.0018517,0.88744,0.96623,0.90433,3.3284,1.0221,1,0.86918,0.96603,15,0.96634,0.86387,1.4235e-33
32040,0.1875,0.19207,2160.4,101.16,5.3582,5.3511,68.368,5.0715,3.0514,15.172,12.109,142.39,0.0019915,40.123,1,-0.0045667,32.216,1.0763,3.0664,69.056,0.0074939,0.12941,62.209,39.821,8.6202,16.587,210.78,3.9542,1.2092,1.2092,83.664,90.32,31.702,0.078373,0.35913,0.85413,11.551,0.55782,0.0018256,0.89679,0.96904,0.91227,3.329,1.021,1,0.86492,0.96478,15,0.96476,0.86538,1.4235e-33
32400,0.1875,0.19155,2158.7,101.44,5.3593,5.3546,68.556,5.0714,3.052,15.163,12.099,142.37,0.0019598,40.115,1,-0.0040547,32.396,1.0773,3.0676,69.18,0.0074352,0.12937,62.242,39.816,8.6501,16.57,211.16,3.9543,1.2099,1.2099,83.838,90.489,31.779,0.078175,0.36011,0.85511,11.541,0.5576,0.0018197,0.90166,0.9705,0.91641,3.328,1.0218,1,0.86653,0.96525,15,0.96524,0.86675,1.4235e-33
32760,0.1875,0.18966,2157.6,101.67,5.3532,5.354,68.777,5.0701,3.0516,15.158,12.093,142.34,0.00196,40.109,1,-0.0021561,32.58,1.0769,3.0667,69.285,0.0073859,0.12927,62.251,39.822,8.6734,16.537,211.38,3.9503,1.21,1.21,84.028,90.745,31.865,0.077834,0.36093,0.85593,11.535,0.55741,0.0018002,0.90763,0.97229,0.92148,3.3261,1.0207,1,0.86935,0.96608,15,0.96608,0.86925,1.4235e-33
33120,0.1875,0.18838,2157.1,101.93,5.3593,5.3541,68.997,5.0696,3.0506,15.152,12.09,142.36,0.0019473,40.109,1,-0.00087747,32.746,1.0769,3.0673,69.339,0.0073608,0.12919,62.286,39.821,8.6882,16.551,211.56,3.9503,1.2107,1.2107,84.194,90.982,31.944,0.077674,0.36186,0.85686,11.533,0.55707,0.0017879,0.91312,0.97394,0.92615,3.3247,1.0196,1,0.87162,0.96674,15,0.96671,0.87212,1.4235e-33
33480,0.1875,0.1877,2156.9,102.15,5.3562,5.3557,69.183,5.0687,3.0503,15.152,12.089,142.35,0.0019472,40.108,1,-0.00019947,32.935,1.0769,3.0679,69.391,0.0073361,0.12914,62.283,39.823,8.6975,16.526,211.66,3.9473,1.2106,1.2106,84.385,91.19,32.01,0.07742,0.36264,0.85764,11.532,0.55735,0.0017792,0.91811,0.97543,0.9304,3.3232,1.0194,1,0.8732,0.96721,15,0.96721,0.87326,1.4235e-33
